College_Name,State,Fees,Rating
Global Institute of Technology - [GIT],Unknown,Unknown,7.8
Global Institute of Technology and Management - [GITM],Unknown,Unknown,8.0
Godavari Institute of Engineering and Technology - [GIET] Rajahmundry,Unknown,Unknown,7.8
Gokaraju Rangaraju Institute of Engineering and Technology -  [GRIET],Unknown,Unknown,9.8
Government College,Unknown,Unknown,N/A
Government College of Engineering,Unknown,Unknown,5.8
Government College of Engineering  - [GCE],Unknown,Unknown,7.7
Government College of Engineering & Textile Technology - [GCETT],Unknown,Unknown,7.2
Government College of Engineering - [GCEK],Unknown,Unknown,7.8
Government College of Engineering - [GCE],Unknown,Unknown,8.5
Government College of Engineering - [GCOEA],Unknown,Unknown,8.2
Government College of Engineering - [GCOE],Unknown,Unknown,6.7
Government College of Engineering and Ceramic Technology - [GCECT],Unknown,Unknown,9.2
Government College of Engineering and Research,Unknown,Unknown,6.5
Government College of Technology - [GCT],Unknown,Unknown,8.0
Government Engineering College,Unknown,Unknown,6.9
Government Engineering College - [ECB],Unknown,Unknown,7.4
Government Engineering College - [GECI],Unknown,Unknown,10.0
Government Engineering College - [GECSKP] Sreekrishnapuram ,Unknown,Unknown,9.1
Government Engineering College - [GECT],Unknown,Unknown,8.0
Government Engineering College - [GEC],Unknown,Unknown,8.1
Government Engineering College -[GEC],Unknown,Unknown,4.3
Govind Ballabh Pant Engineering College - [GBPEC],Unknown,Unknown,6.5
Govind Ballabh Pant University of Agriculture and Technology,Unknown,Unknown,7.5
Govt Engineering College,Unknown,Unknown,8.7
Govt. Model Engineering College - [MEC] Thrikkakara,Unknown,Unknown,2.7
Graphic Era Hill University - [GEHU],Unknown,Unknown,7.7
Graphic Era University - [GEU],Unknown,Unknown,8.9
Greater Kolkata College of Engineering & Management - [GKCEM],Unknown,Unknown,9.4
Gudlavalleru Engineering College - [GEC],Unknown,Unknown,9.7
Gujarat Technological University - [GTU],Unknown,Unknown,1.7
Guru Ghasidas Vishwavidyalaya - [GGU],Unknown,Unknown,5.6
Guru Gobind Singh Indraprastha University - [GGSIPU],Unknown,Unknown,5.9
Guru Jambheshwar University of Science and Technology - [GJUS&T],Unknown,Unknown,7.3
Guru Nanak College of Engineering & Management - [GNCEM],Unknown,Unknown,10.0
Guru Nanak Dev University Regional Campus - [GNDU],Unknown,Unknown,8.0
Guru Nanak Institute of Technology - [GNIT],Unknown,Unknown,8.7
Guru Nanak Institutions Technical Campus - [GNITC],Unknown,Unknown,7.7
Guru Tegh Bahadur Institute of Technology - [GTBIT],Unknown,Unknown,7.7
Gurugram University,Unknown,Unknown,7.9
Gurukula Kangri Vishwavidyalaya - [GKV],Unknown,Unknown,5.8
Gyan Ganga College of Technology - [GGCT],Unknown,Unknown,7.4
HKBK Group of Institutions,Unknown,Unknown,8.4
HMR Institute of Technology & Management - [HMRITM],Unknown,Unknown,8.0
Haldia Institute of Technology - [HIT],Unknown,Unknown,7.7
Harcourt Butler Technological University - [HBTU],Unknown,Unknown,7.7
Hemwati Nandan Bahuguna Garhwal University,Unknown,Unknown,7.0
Heritage Institute of Technology - [HIT],Unknown,Unknown,8.5
Hindu College of Engineering - [HCE],Unknown,Unknown,5.8
Hindustan Institute of Technology and Science - [HITS],Unknown,Unknown,8.0
Hindusthan College of Engineering and Technology - [HICET],Unknown,Unknown,8.2
Hyderabad Institute of Technology and Management - [HITAM],Unknown,Unknown,9.7
I.K. Gujral Punjab Technical University - [IKG-PTU],Unknown,Unknown,7.8
ICFAI Foundation for Higher Education - [IFHE],Unknown,Unknown,8.2
IES College of Technology - [ICOT],Unknown,Unknown,2.0
IES University,Unknown,Unknown,8.7
IILM University,Unknown,Unknown,7.0
IIMT College of Engineering,Unknown,Unknown,7.7
IIMT Group of Colleges,Unknown,Unknown,7.6
IIMT University - [IIMTU],Unknown,Unknown,9.0
IIT BHU - Indian Institute of Technology,Unknown,Unknown,8.2
IIT Bhilai - Indian Institute of Technology - [IITB],Unknown,Unknown,8.0
IIT Bhubaneswar - Indian Institute of Technology - [IITBBS],Unknown,Unknown,7.2
IIT Bombay - Indian Institute of Technology - [IITB],Unknown,Unknown,8.7
IIT Delhi - Indian Institute of Technology [IITD],Unknown,Unknown,9.0
IIT Dharwad - Indian Institute of Technology - [IITD],Unknown,Unknown,8.0
IIT Goa - Indian Institute of Technology - [IITG],Unknown,Unknown,7.8
IIT Guwahati - Indian Institute of Technology - [IITG],Unknown,Unknown,8.5
IIT Hyderabad - Indian Institute of Technology - [IITH],Unknown,Unknown,9.3
IIT Indore - Indian Institute of Technology - [IITI],Unknown,Unknown,8.5
IIT Jodhpur - Indian Institute of Technology - [IITJ],Unknown,Unknown,9.1
IIT Kanpur - Indian Institute of Technology - [IITK],Unknown,Unknown,8.8
IIT Kharagpur - Indian Institute of Technology - [IITKGP],Unknown,Unknown,8.3
IIT Madras - Indian Institute of Technology - [IITM],Unknown,Unknown,8.1
IIT Mandi- Indian Institute of Technology - [IITM],Unknown,Unknown,8.0
IIT Roorkee - Indian Institute of Technology - [IITR],Unknown,Unknown,9.1
IIT Ropar - Indian Institute of Technology - [IITR],Unknown,Unknown,8.8
IPS Academy,Unknown,Unknown,8.1
ISM Dhanbad - Indian Institute of Technology - [IITISM],Unknown,Unknown,7.9
ITM Group of Institutions,Unknown,Unknown,8.3
ITM SLS Baroda University,Unknown,Unknown,9.6
ITM University,Unknown,Unknown,8.0
ITM Vocational University - [ITMVU],Unknown,Unknown,7.6
ITS Engineering College,Unknown,Unknown,8.7
Inderprastha Engineering College - [IPEC],Unknown,Unknown,7.0
Indian Institute of Engineering Science and Technology - [IIEST] Shibpur,Unknown,Unknown,7.7
Indian Institute of Information Technology - [IIIT-K],Unknown,Unknown,8.5
Indian Institute of Information Technology - [IIITD],Unknown,Unknown,8.0
Indian Institute of Information Technology - [IIITG],Unknown,Unknown,7.1
Indian Institute of Information Technology - [IIITK],Unknown,Unknown,7.3
Indian Institute of Information Technology - [IIITL],Unknown,Unknown,6.8
Indian Institute of Information Technology - [IIITM],Unknown,Unknown,6.9
Indian Institute of Information Technology - [IIIT],Unknown,Unknown,7.8
Indian Institute of Information Technology -[IIIT],Unknown,Unknown,8.8
Indian Institute of Information Technology Design & Manufacturing - [IIITDM],Unknown,Unknown,8.6
Indian Institute of Information Technology Design and Manufacturing - [IIITDM],Unknown,Unknown,6.6
Indian Institute of Information Technology Sri City - [IIIT],Unknown,Unknown,6.4
Indian Institute of Information Technology Vadodara - [IIIT-V],Unknown,Unknown,8.0
Indian Institute of Space Science and Technology - [IIST],Unknown,Unknown,8.8
Indian Maritime University - [IMU],Unknown,Unknown,8.6
Indira Gandhi Delhi Technical University For Women -[IGDTUW],Unknown,Unknown,8.2
